기간,회사,스펙,학교_원문,학교_분류,학과_원문,학과_계열,자격증,기타자격증,인턴,기타
2025 하반기,현대자동차,"경희대학교 / 사회과학계열 / 학점 4.1/4.5 / 오픽: AL / 인턴 2회 / 수상 1회 / 한국사검정시험: 고급 , 컴퓨터활용능력: 1급",경희대학교,인서울,사회과학계열,사회과학,OPIc AL,"한국사검정시험: 고급 , 컴퓨터활용능력: 1급",인턴 2회,수상 1회
2025 하반기,BC카드,서성한 / 글로벌경제학과 / 학점 3.84 / 오픽 IH / 증권사 인턴 2회 / KB캠퍼스스타 / 투자자산운용사,서성한,인서울,글로벌경제학과,경영경제,OPIc IH,투자자산운용사,증권사 인턴 2회,KB캠퍼스스타
2025 하반기,어플라이드머티어리얼즈코리아(주),"단국대 / 전자전기공학부 융합반도체공학전공 / 학점 4.13/4.5 / 오픽: IH, 기타: JLPT N2 / 일본계 반도체 장비사 1개월 인턴 / 해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강 / 기타: 운전면허2종보통",단국대,지방대,전자전기공학부 융합반도체공학전공,공학,"OPIc IH, JLPT N2",기타: 운전면허2종보통,일본계 반도체 장비사 1개월 인턴,"해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강"
2025 상반기,IBK 기업은행,"한국외대 / 독일어/경제학 / 학점 3.97 / 토익: 847, 토익스피킹: 170/AL / 컨설팅학회, 증권사 대외활동",한국외대,인서울,독일어/경제학,경영경제,"TOEIC 847, 토익스피킹 170/AL",,,"컨설팅학회, 증권사 대외활동"
2023 상반기,어플라이드 머티리얼즈,"국숭광 / 전기공학과 / 학점 3.54/4.5 / 오픽: IH / 사회생활 경험: 아르바이트 총합 2년 / 학부연구생9개월, 동아리 / 한국사검정시험: 고급 기타: 6시그마GB",국숭광,기타,전기공학과,공학,OPIc IH,한국사검정시험: 고급 기타: 6시그마GB,,"사회생활 경험: 아르바이트 총합 2년 / 학부연구생9개월, 동아리"
2025 하반기,카카오,중경외시 / 예술디자인 / 학점 3.5 / 대외활동 3개,중경외시,인서울,예술디자인,예체능디자인,,,,대외활동 3개
2024 하반기,SK마이크로웍스,"한국교통대학교 / 융합경영전공 / 학점 3.71/4.5 / 토익: 835 / 학술대회 논문 투고 2회, 학술제 1회, 공모전 수상 1회, 교내수상 1회 / 컴퓨터활용능력: 1급, 기타: 재경관리사, 전산세무2급, 전산회계1급",한국교통대학교,지방대,융합경영전공,경영경제,TOEIC 835,"컴퓨터활용능력: 1급, 기타: 재경관리사, 전산세무2급, 전산회계1급",,"학술대회 논문 투고 2회, 학술제 1회, 공모전 수상 1회, 교내수상 1회"
2021 상반기,현대백화점면세점,"성균관대 / 러시아어문학 / 학점 4.1 / 토익: 940, 토익스피킹: 160/7, 오픽: , 기타: / 사회생활 경험: 외국계 스타트업 인턴 1년 / 경영학회 1년 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",성균관대,인서울,러시아어문학,인문어문,"TOEIC 940, 토익스피킹 160/7","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:",사회생활 경험: 외국계 스타트업 인턴 1년,경영학회 1년
2024 하반기,(주)바이오프랜즈,"국립대(지거국X) / 융합경영학과 / 학점 4.0/4.5 / 토익스피킹: 140/ih / 사회생활 경험: 세무서 아르바이트, 교내 입주기업 단기인턴 / 회계사례경진대회 우수상 / 기타: 전산회계 1급, 투자자산운용사, ERP회계정보관리사 2급",국립대(지거국X),지방대,융합경영학과,경영경제,토익스피킹 140/ih,"사회생활 경험: 세무서 아르바이트, 교내 입주기업 단기인턴 / 회계사례경진대회 우수상 / 기타: 전산회계 1급, 투자자산운용사, ERP회계정보관리사 2급","사회생활 경험: 세무서 아르바이트, 교내 입주기업 단기인턴",
2020 하반기,현대백화점,"지방사립4년제 / 경영학 / 학점 3.76 / 토익: 950, 오픽: IH / 사회생활 경험: 대한무역투자진흥공사 5개월, 컨텐츠회사 마케팅인턴 2개월",지방사립4년제,지방대,경영학,경영경제,"TOEIC 950, OPIc IH",,"사회생활 경험: 대한무역투자진흥공사 5개월, 컨텐츠회사 마케팅인턴 2개월",
2022 하반기,현대자동차,"서울권 4년제 / 경영학 / 학점 3.79 / 토익: 895, 오픽: IM2 / 사회생활 경험: 인턴 / 광고 동아리",서울권 4년제,기타,경영학,경영경제,"TOEIC 895, OPIc IM2",,사회생활 경험: 인턴,광고 동아리
2025 상반기,KREAM,"경희대학교 / 프랑스어학과 / 학점 4.09 / 오픽: IH / 현장실습 1회 / 공모전, 대외활동",경희대학교,인서울,프랑스어학과,인문어문,"OPIc IH, 프랑스어학과",,,"현장실습 1회 / 공모전, 대외활동"
2022 상반기,어플라이드 머티리얼즈,"지방대 / 신소재공학 / 학점 3.3/4.5 / 토익: 655, 토익스피킹: 130/레벨6, 오픽: , 기타: / 사회생활 경험: nepes Test엔지니어 / 신소재엔지니어링 Fair 동상 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 산업안전기사",지방대,지방대,신소재공학,공학,"TOEIC 655, 토익스피킹 130/레벨6","한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 산업안전기사",,사회생활 경험: nepes Test엔지니어 / 신소재엔지니어링 Fair 동상
2025 상반기,현대자동차,"건국대 / 산업경영공학과 / 학점 3.95 / 토익 920, AM / 대기업 인턴 6개월 2회",건국대,인서울,산업경영공학과,경영경제,TOEIC 920,,대기업 인턴 6개월 2회,
2025 상반기,카카오뱅크,국숭세단 / 경영 / 학점 3.70/4.5 / 토익: 780 / 교내 학부 데이터 분석 경진대회 우수상,국숭세단,인서울,경영,경영경제,TOEIC 780,,,교내 학부 데이터 분석 경진대회 우수상
2024 하반기,어플라이드머티어리얼즈코리아,고려대 / 전자공학 / 학점 3.92 / IH / 인턴 1회(한국전자기술연구원 연구직) / 컴퓨터활용능력 1급,고려대,Top5,전자공학,공학,,컴퓨터활용능력 1급,인턴 1회(한국전자기술연구원 연구직),IH
2025 하반기,IBK기업은행,"부산대 / 무역학부 / 학점 4.25 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 투자자산운용사",부산대,지방대,무역학부,경영경제,,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 투자자산운용사",,
2021 상반기,네이버웹툰,"숙명여대 / 아동복지 / 학점 3.94/4.5 / 토익: 910, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 디지털미디어렙사 6개월 인턴 / 대외활동 5번, 공모전 4번 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타: GAIQ, Google Search Ads",숙명여대,인서울,아동복지,기타,"TOEIC 910, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 2급, 기타: GAIQ, Google Search Ads",사회생활 경험: 디지털미디어렙사 6개월 인턴,"대외활동 5번, 공모전 4번"
2025 하반기,SK하이닉스,"동국대 / 광고홍보학과 / 학점 3.97/4.5 / 토익: 950, 오픽: IH / 인턴 6개월 2회 / 서포터즈 1회 활동 / 컴퓨터활용능력: 1급",동국대,인서울,광고홍보학과,사회과학,"TOEIC 950, OPIc IH",컴퓨터활용능력: 1급,인턴 6개월 2회,서포터즈 1회 활동
2022 상반기,현대백화점,"건동홍 / 사회/상경계열 / 학점 3.25/4.5 / 토익: , 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 교내 익스턴 1회 / 대기업 서포터즈 3회, 학기우등생 2회 / 한국사검정시험: , 컴퓨터활용능력: , 기타: GAIQ 고급, 한국실용글쓰기 준2급",건동홍,인서울,사회/상경계열,사회과학,"OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: GAIQ 고급, 한국실용글쓰기 준2급",,"사회생활 경험: 교내 익스턴 1회 / 대기업 서포터즈 3회, 학기우등생 2회"
2025 하반기,CJ ENM,"연세대 / 언론홍보영상학부 / 학점 4.1/4.5 / 토익: 965, 토익스피킹: 200/Advanced High / CJ ENM - tvN 유퀴즈 온 더 블럭(조연출), TV조선 - 컨텐츠기획부(인턴) / 캐릿(해외 트렌드 디깅 크루), 매거진 미러(에디터), 글에고리(에세이 작가), 연세대학교 사회과학대학 학생회 선본, 연세대학교 언론홍보영상학부 학생회 우정채움국장",연세대,Top5,언론홍보영상학부,사회과학,"TOEIC 965, 토익스피킹 200/Advanced High",,"CJ ENM - tvN 유퀴즈 온 더 블럭(조연출), TV조선 - 컨텐츠기획부(인턴)","캐릿(해외 트렌드 디깅 크루), 매거진 미러(에디터), 글에고리(에세이 작가), 연세대학교 사회과학대학 학생회 선본, 연세대학교 언론홍보영상학부 학생회 우정채움국장"
2023 하반기,KREAM,"고려대학교 / 불어불문학과 / 학점 3.23/4.5 / 오픽: IM3 / 사회생활 경험: 마케팅 인턴 1회 / 마케팅 동아리 1회, 경영전략학회 1회 / 한국사검정시험: , 컴퓨터활용능력: , 기타:",고려대학교,Top5,불어불문학과,인문어문,OPIc IM3,"한국사검정시험: , 컴퓨터활용능력: , 기타:",사회생활 경험: 마케팅 인턴 1회,"마케팅 동아리 1회, 경영전략학회 1회"
2024 하반기,BC카드,"중앙대학교 / 통계학과 / 학점 3.4 / 토익: 850, 토익스피킹: 140/IH",중앙대학교,인서울,통계학과,IT컴퓨터,"TOEIC 850, 토익스피킹 140/IH",,,
2026 상반기,SK하이닉스,"인서울 / 건축공학 / 학점 4.15 / im3 / 건설사 재직 1년 / 성적장학금, 건설사인턴, 건설사 재직중, 공모전 수상 / 건축기사, 건설안전기사",인서울,인서울,건축공학,공학,,"건축기사, 건설안전기사","성적장학금, 건설사인턴, 건설사 재직중, 공모전 수상",im3 / 건설사 재직 1년
2025 상반기,SK하이닉스,"전북대학교 / 신소재 금속시스템공학과 / 학점 3.38 / 토익스피킹: 140, 오픽: IH / 사회생활 경험: 패션 스타트업 AMD 인턴 / 학부연구생 1년 / 기타: 산업안전기사",전북대학교,지방대,신소재 금속시스템공학과,공학,"OPIc IH, 토익스피킹 140",기타: 산업안전기사,사회생활 경험: 패션 스타트업 AMD 인턴,학부연구생 1년
2024 하반기,현대자동차,"서성한 / 기계공학 / 학점 4.07/4.50 / 오픽: IH / 설계 프로젝트 2회, 공모전 수상 3회, 논문 2회 작성, 특허 출원 경험",서성한,인서울,기계공학,공학,OPIc IH,,,"설계 프로젝트 2회, 공모전 수상 3회, 논문 2회 작성, 특허 출원 경험"
2023 하반기,현대자동차,"성균관대학교 / 심리학과 / 학점 3.57/4.5 / 토익: 945, 토익스피킹: 180/레벨7, 오픽: AL, 기타: HSK 5급 / 사회생활 경험: 해커스어학원 공식 블로그 포스팅 아르바이트 / 식품 대기업 마케팅 아이디어 공모전 (우수상), Co-Deep Learning Project (동료평가상), 청년소비자리더 아카데미 (우수상), 대학생 참여 물가감시활동 (총장상)",성균관대학교,인서울,심리학과,사회과학,"TOEIC 945, OPIc AL, 토익스피킹 180/레벨7, HSK 5급, 사회생활 경험: 해커스어학원 공식 블로그 포스팅 아르바이트",,,"식품 대기업 마케팅 아이디어 공모전 (우수상), Co-Deep Learning Project (동료평가상), 청년소비자리더 아카데미 (우수상), 대학생 참여 물가감시활동 (총장상)"
2025 하반기,SM엔터테인먼트,동덕여자대학교 / 미디어디자인 / 학점 3.5 / 오픽 IH / 한국사검정능력시험: 고급,동덕여자대학교,지방대,미디어디자인,사회과학,OPIc IH,한국사검정능력시험: 고급,,
2025 하반기,현대자동차,"동국대 / 광고홍보학과 / 학점 3.97 / 토익 950, 오픽 IH / 인턴 6개월 2회 / 서포터즈 1회 활동 / 컴퓨터활용능력: 1",동국대,인서울,광고홍보학과,사회과학,"TOEIC 950, OPIc IH",컴퓨터활용능력: 1,인턴 6개월 2회,서포터즈 1회 활동
2023 하반기,어플라이드 머티리얼즈,"서성한 / 신소재공학 / 학점 4.08 / 토익: 750 , 오픽: IM1 / 사회생활 경험: 학부연구생1년",서성한,인서울,신소재공학,공학,"TOEIC 750, OPIc IM1",,,사회생활 경험: 학부연구생1년
2023 하반기,IBK 기업은행,"전북대학교 / 경제학부 경제학전공 / 학점 3.49/4.5 / 토익: 710 / 신한은행 대학생 홍보대사 팀 우수상, 개인활동우수자 / 한국사검정시험: 중급, 기타: AFPK, 투자자산운용사",전북대학교,지방대,경제학부 경제학전공,경영경제,TOEIC 710,"한국사검정시험: 중급, 기타: AFPK, 투자자산운용사",,"신한은행 대학생 홍보대사 팀 우수상, 개인활동우수자"
2026 상반기,삼성전자,인가경 / 전자공 / 학점 4.03 / 오픽 IH / 학부연구생1년 / ADSP,인가경,기타,전자공,공학,OPIc IH,ADSP,,학부연구생1년
2023 상반기,JYP 엔터테인먼트,"서울여자대학교 / 경영학과 / 학점 3.5 / 토익스피킹: IH, / 사회생활 경험: sk바이오사이언스 계약직 6개월, 씨젠 파견직 3개월 / 동아리 운영팀장 / 컴퓨터활용능력: 1급, 기타: HRm전문가, Erp 인사 1급",서울여자대학교,지방대,경영학과,경영경제,토익스피킹 IH,"컴퓨터활용능력: 1급, 기타: HRm전문가, Erp 인사 1급",,"사회생활 경험: sk바이오사이언스 계약직 6개월, 씨젠 파견직 3개월 / 동아리 운영팀장"
2022 하반기,비나우,"한신대학교 / 철학과 / 학점 3.97 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 나스미디어 / 상상프렌즈, 비레디 마케팅 서포터즈 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",한신대학교,지방대,철학과,인문어문,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",,"사회생활 경험: 나스미디어 / 상상프렌즈, 비레디 마케팅 서포터즈"
2025 상반기,현대자동차,"서울과학기술대학교 / 산업공학과 / 학점 3.5/4.5 / 오픽: IH / 기타: SQLD, 운전면허 1종보통, ITQ 파워포인트 B등급",서울과학기술대학교,지방대,산업공학과,공학,OPIc IH,"기타: SQLD, 운전면허 1종보통, ITQ 파워포인트 B등급",,
2023 상반기,신세계인터내셔날 JAJU,"서성한이 / 디자인 / 학점 4.38/4.5 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 인턴 1회 / 공기업 서포터즈, 독립출판 프로젝트, 디자인 학회, 인스타그램 뉴스플랫폼 디자인팀 / 한국사검정시험: , 컴퓨터활용능력: , 기타: GTQ그래픽기술자격1급, 전산회계 3급",서성한이,인서울,디자인,예체능디자인,토익스피킹 ,"한국사검정시험: , 컴퓨터활용능력: , 기타: GTQ그래픽기술자격1급, 전산회계 3급",사회생활 경험: 인턴 1회,"공기업 서포터즈, 독립출판 프로젝트, 디자인 학회, 인스타그램 뉴스플랫폼 디자인팀"
2025 상반기,삼성전자,"연세대학교 / 국어국문학과 / 학점 3.8/4.3 / 오픽: IH / 전국연합마케팅학회, 신촌연합시동아리",연세대학교,Top5,국어국문학과,인문어문,OPIc IH,,,"전국연합마케팅학회, 신촌연합시동아리"
2025 상반기,아모레퍼시픽,"중앙대학교 / 광고홍보학과 / 학점 3.8 / 토익:975, 오픽:AL",중앙대학교,인서울,광고홍보학과,사회과학,"TOEIC 975, OPIc AL",,,
2025 하반기,SK하이닉스,"지거국 / 전자공학부 / 학점 4.2 / 토익 900, 토스 120 / PBL기반 반도체실무프로젝트, PBL기반 반도체특성화프로젝트 / 한국사검정능력시험: 고급",지거국,지방대,전자공학부,공학,TOEIC 900,한국사검정능력시험: 고급,,"PBL기반 반도체실무프로젝트, PBL기반 반도체특성화프로젝트"
2024 상반기,도쿄일렉트론코리아,광운대 / 전기공학 / 학점 3.61/4.5 / 오픽: IH / 학부연구생 1년,광운대,인서울,전기공학,공학,OPIc IH,,,학부연구생 1년
2025 상반기,IBK기업은행,"부산대 / 경영 / 학점 3.67 / 855 / 한국토지주택공사 3개월, 한국주택금융공사 6개월 / 금융투자학회 1.5년 / 한국사검정능력시험: 고급, 컴퓨터활용능력: 1급, 신용분석사, 투자자산운용사, 외환전문역 2종",부산대,지방대,경영,경영경제,,"한국사검정능력시험: 고급, 컴퓨터활용능력: 1급, 신용분석사, 투자자산운용사, 외환전문역 2종",,"855 / 한국토지주택공사 3개월, 한국주택금융공사 6개월 / 금융투자학회 1.5년"
2025 하반기,SK하이닉스,"한양대 / 전자전기 / 학점 3.98/4.5 / 토익: 890, 오픽: IH / 학부연구생 8개월 / 삼성전자 장기현장실습, 포스터발표 최우수상 2회",한양대,인서울,전자전기,공학,"TOEIC 890, OPIc IH",,,"학부연구생 8개월 / 삼성전자 장기현장실습, 포스터발표 최우수상 2회"
2026 상반기,HD현대,"건동홍 / 산업공학과 / 학점 3.87 / 오픽 IH / Sci 1저자 1편, 특허 4회",건동홍,인서울,산업공학과,공학,OPIc IH,,,"Sci 1저자 1편, 특허 4회"
2025 상반기,현대건설,"한양대 / 건축공학 / 학점 3.64/4.5 / 오픽: IH / 사회생활 경험: 하나자산신탁 인턴 / 기타: 건축기사, 투자자산운용사",한양대,인서울,건축공학,공학,OPIc IH,"기타: 건축기사, 투자자산운용사",사회생활 경험: 하나자산신탁 인턴,
2025 상반기,NAVER Cloud,서울과학기술대 / 산업정보시스템 / 학점 3.95 / 토익스피킹: 140/IH,서울과학기술대,지방대,산업정보시스템,기타,토익스피킹 140/IH,,,
2025 하반기,레이저텍코리아,"단국대 / 전자전기공학부 융합반도체공학전공 / 학점 4.13/4.5 / 오픽: IH, 기타: JLPT N2 / 일본계 반도체 장비사 1개월 인턴 / 해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강 / 기타: 운전면허2종보통",단국대,지방대,전자전기공학부 융합반도체공학전공,공학,"OPIc IH, JLPT N2",기타: 운전면허2종보통,일본계 반도체 장비사 1개월 인턴,"해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강"
2025 하반기,어플라이드머티어리얼즈코리아,"숭실대 / 전기공학부 / 학점 4.29 / 오픽: IH / 학부연구생 1회 / 삼성전자 장기현장실습(4개월), 학부연구 포스터발표 최우수상",숭실대,인서울,전기공학부,공학,OPIc IH,,,"학부연구생 1회 / 삼성전자 장기현장실습(4개월), 학부연구 포스터발표 최우수상"
2021 하반기,어플라이드 머티리얼즈,"부산대 / 재료공학부 / 학점 3.23 / 토익: 780, 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: / 공정 실습, 동아리, 학생회 / 한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",부산대,지방대,재료공학부,공학,"TOEIC 780, OPIc IH, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 2급, 기타:",,"사회생활 경험: / 공정 실습, 동아리, 학생회"
2022 상반기,현대자동차,"인하대 / 아태물류학부 / 학점 4.12 / 토익: 955, 오픽: IH / 사회생활 경험: 인턴 1회",인하대,지방대,아태물류학부,기타,"TOEIC 955, OPIc IH",,사회생활 경험: 인턴 1회,
2025 상반기,IBK기업은행,"부산대 / 무역학부 / 학점 4.2 / 한국사검정시험: 고급 , 컴퓨터활용능력: 1급",부산대,지방대,무역학부,경영경제,,"한국사검정시험: 고급 , 컴퓨터활용능력: 1급",,
2024 하반기,현대자동차,"인하대 / 산업경영공학, 통계학 / 학점 3.93 / 토익: 725, 오픽: IM2 / 공모전 수상 2회 / 기타: ADsP",인하대,지방대,"산업경영공학, 통계학",경영경제,"TOEIC 725, OPIc IM2",기타: ADsP,,공모전 수상 2회
2023 상반기,한화에어로스페이스,"동아대 / 기계공학과 / 학점 4.19/4.5 / 토익: 775, 토익스피킹: , 오픽: IM1, 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: 1급, 기타: 품질경영기사, 일반기계기사",동아대,지방대,기계공학과,공학,"TOEIC 775, OPIc IM1, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: 1급, 기타: 품질경영기사, 일반기계기사",,사회생활 경험:
2025 하반기,아시아나 항공,"서강대학교 / 경영학과 / 학점 4.03 / 토익 740, 토스 IH / 토스 인슈어런스 / TESAT 1급, 재경관리사",서강대학교,인서울,경영학과,경영경제,TOEIC 740,"TESAT 1급, 재경관리사",,토스 인슈어런스
2025 상반기,현진스포텍,"건동홍숙 / 경제 / 학점 3.88/4.5 / 토익: 915, 오픽: IH / 사회생활 경험: 대기업 HRD 2개월, 중견기업 AI솔루션 6개월",건동홍숙,인서울,경제,경영경제,"TOEIC 915, OPIc IH",,,"사회생활 경험: 대기업 HRD 2개월, 중견기업 AI솔루션 6개월"
2023 상반기,현대백화점,"중앙대 / 공공인재학부 / 학점 4.07/4.5 / 토익: 815, 토익스피킹: 140/IH / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타:",중앙대,인서울,공공인재학부,법행정,"TOEIC 815, 토익스피킹 140/IH","한국사검정시험: 고급, 컴퓨터활용능력: , 기타:",,
2022 상반기,삼성전자,"숭실대학교 / 글로벌통상학과 / 학점 4.1 / 토익: 900, 토익스피킹: , 오픽: ih, 기타: / 사회생활 경험: / 영상 공모전 다수 수상 / 한국사검정시험: , 컴퓨터활용능력: , 기타: 국제무역사 1급",숭실대학교,인서울,글로벌통상학과,기타,"TOEIC 900, OPIc ih, 토익스피킹 ","한국사검정시험: , 컴퓨터활용능력: , 기타: 국제무역사 1급",,사회생활 경험: / 영상 공모전 다수 수상
2025 상반기,삼성전자,"한국공학대 / 신소재공학 / 학점 4.2/4.5 / 토익: 825, 오픽: IH / 사회생활 경험: 해외 현장실습(인턴) / 취업 동아리, 영상 공모전 장려상 / 기타: ADsP",한국공학대,지방대,신소재공학,공학,"TOEIC 825, OPIc IH",기타: ADsP,사회생활 경험: 해외 현장실습(인턴),"취업 동아리, 영상 공모전 장려상"
2025 상반기,네이버웹툰,"인서울 / 사범대 / 학점 4.33/4.5 / 토익: 935, 토익스피킹: 160(AL) / 사회생활 경험: 인턴 1년 / 봉사활동, 멘토링",인서울,인서울,사범대,교육,"TOEIC 935, 토익스피킹 160(AL) / 사회생활 경험: 인턴 1년",,사회생활 경험: 인턴 1년,"봉사활동, 멘토링"
2024 하반기,CJ ENM,"경희대 / 문화관광콘텐츠학과 / 학점 4.08/4.5 / 오픽: IH / 한국사검정시험: 중급, 컴퓨터활용능력: 1급",경희대,인서울,문화관광콘텐츠학과,기타,OPIc IH,"한국사검정시험: 중급, 컴퓨터활용능력: 1급",,
2025 상반기,경기주택도시공사,"건국대 / 건축학과 / 학점 3.95 / 토익: 775 / 사회생활 경험: '내집연구소' 인턴 / 공공상생연대기금 동아리 활동 '위키워크 프로젝트', 'SH어반스쿨', '렛츠노들 서포터즈', '한국주거학회 학술발표대회 우수상' / 한국사검정시험: 고급, 컴퓨터활용능력: 1급",건국대,인서울,건축학과,공학,TOEIC 775,"한국사검정시험: 고급, 컴퓨터활용능력: 1급",사회생활 경험: '내집연구소' 인턴,"공공상생연대기금 동아리 활동 '위키워크 프로젝트', 'SH어반스쿨', '렛츠노들 서포터즈', '한국주거학회 학술발표대회 우수상'"
