원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
14,2025 하반기,어플라이드머티어리얼즈코리아(주),Customer Engineer (장비 엔지니어),"회사: 어플라이드머티어리얼즈코리아(주) | 직무: Customer Engineer (장비 엔지니어) | 유형: 중견기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/36413?page=1&sort=RECENT_SCRAP_COUNT&tab=all
15,2025 상반기,IBK 기업은행,금융일반,"회사: IBK 기업은행 | 직무: 금융일반 | 유형: 은행권, 인턴",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/35087?page=1&sort=RECENT_SCRAP_COUNT&tab=all
16,2023 상반기,어플라이드 머티리얼즈,장비 엔지니어(CE),"회사: 어플라이드 머티리얼즈 | 직무: 장비 엔지니어(CE) | 유형: 중견기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/32765?page=1&sort=RECENT_SCRAP_COUNT&tab=all
17,2025 하반기,카카오,이모티콘 마케팅,"회사: 카카오 | 직무: 이모티콘 마케팅 | 유형: 인턴, 대기업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/35690?page=1&sort=RECENT_SCRAP_COUNT&tab=all
18,2024 하반기,SK마이크로웍스,재무-원가/관리회계-김천,"회사: SK마이크로웍스 | 직무: 재무-원가/관리회계-김천 | 유형: 중견기업, 신입",경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/34373?page=1&sort=RECENT_SCRAP_COUNT&tab=all
19,2021 상반기,현대백화점면세점,영업관리,"회사: 현대백화점면세점 | 직무: 영업관리 | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/28784?page=1&sort=RECENT_SCRAP_COUNT&tab=all
20,2024 하반기,(주)바이오프랜즈,재무회계,"회사: (주)바이오프랜즈 | 직무: 재무회계 | 유형: 신입, 중소기업/스타트업",경영·사무,재무·회계,"회계, 세무, 재무관리",상,,https://linkareer.com/cover-letter/34501?page=1&sort=RECENT_SCRAP_COUNT&tab=all
21,2020 하반기,현대백화점,영업관리,"회사: 현대백화점 | 직무: 영업관리 | 유형: 신입, 대기업",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/25114?page=1&sort=RECENT_SCRAP_COUNT&tab=all
22,2022 하반기,현대자동차,마케팅,"회사: 현대자동차 | 직무: 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/31357?page=2&sort=RECENT_SCRAP_COUNT&tab=all
23,2025 상반기,KREAM,Biz Dev,"회사: KREAM | 직무: Biz Dev | 유형: 인턴, 대기업",IT·개발,데이터 분석,"데이터 분석가, BI, 통계 분석",중,,https://linkareer.com/cover-letter/35595?page=2&sort=RECENT_SCRAP_COUNT&tab=all
24,2022 상반기,어플라이드 머티리얼즈,Customer Engineer (장비엔지니어),"회사: 어플라이드 머티리얼즈 | 직무: Customer Engineer (장비엔지니어) | 유형: 대기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/30992?page=2&sort=RECENT_SCRAP_COUNT&tab=all
25,2025 상반기,현대자동차,PR 기획 및 운영,"회사: 현대자동차 | 직무: PR 기획 및 운영 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/35916?page=2&sort=RECENT_SCRAP_COUNT&tab=all
26,2025 상반기,카카오뱅크,여신제도기획 운영 업무 어시스턴트 (체험형 인턴),"회사: 카카오뱅크 | 직무: 여신제도기획 운영 업무 어시스턴트 (체험형 인턴) | 유형: 대기업, 인턴",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/35941?page=2&sort=RECENT_SCRAP_COUNT&tab=all
27,2024 하반기,어플라이드머티어리얼즈코리아,Customer Engineer (장비 엔지니어),"회사: 어플라이드머티어리얼즈코리아 | 직무: Customer Engineer (장비 엔지니어) | 유형: 대기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/36144?page=2&sort=RECENT_SCRAP_COUNT&tab=all
28,2025 하반기,IBK기업은행,금융일반,"회사: IBK기업은행 | 직무: 금융일반 | 유형: 신입, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/36475?page=2&sort=RECENT_SCRAP_COUNT&tab=all
29,2021 상반기,네이버웹툰,퍼포먼스마케팅,"회사: 네이버웹툰 | 직무: 퍼포먼스마케팅 | 유형: 대기업, 인턴",IT·개발,프론트엔드 개발,"React, Vue, Angular, 웹 퍼블리싱",중,,https://linkareer.com/cover-letter/28585?page=2&sort=RECENT_SCRAP_COUNT&tab=all
30,2025 하반기,SK하이닉스,영업,"회사: SK하이닉스 | 직무: 영업 | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/36257?page=2&sort=RECENT_SCRAP_COUNT&tab=all
31,2022 상반기,현대백화점,마케팅,"회사: 현대백화점 | 직무: 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/30827?page=2&sort=RECENT_SCRAP_COUNT&tab=all
32,2025 하반기,CJ ENM,CREATOR-예능 제작PD,"회사: CJ ENM | 직무: CREATOR-예능 제작PD | 유형: 대기업, 신입",미디어·콘텐츠,콘텐츠 제작,"PD, 영상, 방송, 작가",상,,https://linkareer.com/cover-letter/35732?page=2&sort=RECENT_SCRAP_COUNT&tab=all
33,2023 하반기,KREAM,마케팅기획,"회사: KREAM | 직무: 마케팅기획 | 유형: 인턴, 대기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/33345?page=2&sort=RECENT_SCRAP_COUNT&tab=all
34,2024 하반기,BC카드,마케팅,"회사: BC카드 | 직무: 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/34082?page=2&sort=RECENT_SCRAP_COUNT&tab=all
35,2026 상반기,SK하이닉스,"Utility기술(건축, BIM/5D)","회사: SK하이닉스 | 직무: Utility기술(건축, BIM/5D) | 유형: 신입, 대기업",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",상,,https://linkareer.com/cover-letter/36523?page=2&sort=RECENT_SCRAP_COUNT&tab=all
36,2025 상반기,SK하이닉스,기반기술 (Infra Tech),"회사: SK하이닉스 | 직무: 기반기술 (Infra Tech) | 유형: 대기업, 신입",IT·개발,클라우드·인프라,"AWS, Azure, DevOps, Kubernetes",중,,https://linkareer.com/cover-letter/34630?page=2&sort=RECENT_SCRAP_COUNT&tab=all
37,2024 하반기,현대자동차,연구개발 부문,"회사: 현대자동차 | 직무: 연구개발 부문 | 유형: 인턴, 대기업",연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/34706?page=2&sort=RECENT_SCRAP_COUNT&tab=all
38,2023 하반기,현대자동차,글로벌 사업,"회사: 현대자동차 | 직무: 글로벌 사업 | 유형: 인턴, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/33053?page=2&sort=RECENT_SCRAP_COUNT&tab=all
39,2025 하반기,SM엔터테인먼트,Creative Visual,"회사: SM엔터테인먼트 | 직무: Creative Visual | 유형: 대기업, 신입",디자인,그래픽 디자인,"편집, 브랜딩",중,,https://linkareer.com/cover-letter/36272?page=2&sort=RECENT_SCRAP_COUNT&tab=all
40,2025 하반기,현대자동차,차량 프로젝트 관리,"회사: 현대자동차 | 직무: 차량 프로젝트 관리 | 유형: 신입, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/36230?page=2&sort=RECENT_SCRAP_COUNT&tab=all
41,2023 하반기,어플라이드 머티리얼즈,공정엔지니어,"회사: 어플라이드 머티리얼즈 | 직무: 공정엔지니어 | 유형: 신입, 대기업",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/33120?page=2&sort=RECENT_SCRAP_COUNT&tab=all
42,2023 하반기,IBK 기업은행,동계인턴,"회사: IBK 기업은행 | 직무: 동계인턴 | 유형: 인턴, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/33264?page=3&sort=RECENT_SCRAP_COUNT&tab=all
43,2026 상반기,삼성전자,DS부문_반도체공정기술,"회사: 삼성전자 | 직무: DS부문_반도체공정기술 | 유형: 대기업, 신입",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/36578?page=3&sort=RECENT_SCRAP_COUNT&tab=all
44,2023 상반기,JYP 엔터테인먼트,HR,"회사: JYP 엔터테인먼트 | 직무: HR | 유형: 중견기업, 신입",경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/31951?page=3&sort=RECENT_SCRAP_COUNT&tab=all
45,2022 하반기,비나우,디지털마케팅,"회사: 비나우 | 직무: 디지털마케팅 | 유형: 신입, 중소기업/스타트업",마케팅·광고,디지털 마케팅,"SNS, 퍼포먼스 마케팅",중,,https://linkareer.com/cover-letter/31566?page=3&sort=RECENT_SCRAP_COUNT&tab=all
46,2025 상반기,현대자동차,생산/제조_품질_품질기획 (울산공장),"회사: 현대자동차 | 직무: 생산/제조_품질_품질기획 (울산공장) | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/34634?page=3&sort=RECENT_SCRAP_COUNT&tab=all
47,2023 상반기,신세계인터내셔날 JAJU,JAJU상품담당 그래픽디자인 인턴,"회사: 신세계인터내셔날 JAJU | 직무: JAJU상품담당 그래픽디자인 인턴 | 유형: 대기업, 인턴",디자인,그래픽 디자인,"편집, 브랜딩",중,,https://linkareer.com/cover-letter/31682?page=3&sort=RECENT_SCRAP_COUNT&tab=all
48,2025 상반기,삼성전자,DX부문_한국총괄_국내영업마케팅,"회사: 삼성전자 | 직무: DX부문_한국총괄_국내영업마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/34965?page=3&sort=RECENT_SCRAP_COUNT&tab=all
49,2025 상반기,아모레퍼시픽,HBO 브랜드 마케팅,"회사: 아모레퍼시픽 | 직무: HBO 브랜드 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",상,,https://linkareer.com/cover-letter/35023?page=3&sort=RECENT_SCRAP_COUNT&tab=all
50,2025 하반기,SK하이닉스,청주_양산기술,"회사: SK하이닉스 | 직무: 청주_양산기술 | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/36019?page=3&sort=RECENT_SCRAP_COUNT&tab=all
51,2024 상반기,도쿄일렉트론코리아,field engineer,"회사: 도쿄일렉트론코리아 | 직무: field engineer | 유형: 중견기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/33501?page=3&sort=RECENT_SCRAP_COUNT&tab=all
52,2025 상반기,IBK기업은행,지역인재,"회사: IBK기업은행 | 직무: 지역인재 | 유형: 은행권, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/35257?page=3&sort=RECENT_SCRAP_COUNT&tab=all
53,2025 하반기,SK하이닉스,설계 (이천),"회사: SK하이닉스 | 직무: 설계 (이천) | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/36354?page=3&sort=RECENT_SCRAP_COUNT&tab=all
54,2026 상반기,HD현대,생산,"회사: HD현대 | 직무: 생산 | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/36341?page=3&sort=RECENT_SCRAP_COUNT&tab=all
55,2025 상반기,현대건설,건축/주택사업 건축공학,"회사: 현대건설 | 직무: 건축/주택사업 건축공학 | 유형: 대기업, 신입",건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",중,,https://linkareer.com/cover-letter/34493?page=3&sort=RECENT_SCRAP_COUNT&tab=all
56,2025 상반기,NAVER Cloud,HyperCLOVA X 활용 AI 경험 리서치 및 기획,"회사: NAVER Cloud | 직무: HyperCLOVA X 활용 AI 경험 리서치 및 기획 | 유형: 대기업, 인턴",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/35107?page=3&sort=RECENT_SCRAP_COUNT&tab=all
57,2025 하반기,레이저텍코리아,Field Service Engineer,"회사: 레이저텍코리아 | 직무: Field Service Engineer | 유형: 중소기업/스타트업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/36447?page=3&sort=RECENT_SCRAP_COUNT&tab=all
58,2025 하반기,어플라이드머티어리얼즈코리아,Customer Engineer (장비 엔지니어),"회사: 어플라이드머티어리얼즈코리아 | 직무: Customer Engineer (장비 엔지니어) | 유형: 신입, 중견기업",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/36133?page=3&sort=RECENT_SCRAP_COUNT&tab=all
59,2021 하반기,어플라이드 머티리얼즈,Customer engineer,"회사: 어플라이드 머티리얼즈 | 직무: Customer engineer | 유형: 중견기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/30047?page=3&sort=RECENT_SCRAP_COUNT&tab=all
60,2022 상반기,현대자동차,글로벌 사업운영/조정,"회사: 현대자동차 | 직무: 글로벌 사업운영/조정 | 유형: 대기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/33239?page=3&sort=RECENT_SCRAP_COUNT&tab=all
61,2025 상반기,IBK기업은행,금융일반,"회사: IBK기업은행 | 직무: 금융일반 | 유형: 은행권, 인턴",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/36468?page=3&sort=RECENT_SCRAP_COUNT&tab=all
62,2024 하반기,현대자동차,사업/기획_국내사업_서비스 품질·기술 지원,"회사: 현대자동차 | 직무: 사업/기획_국내사업_서비스 품질·기술 지원 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/34233?page=4&sort=RECENT_SCRAP_COUNT&tab=all
63,2023 상반기,한화에어로스페이스,품질기술,"회사: 한화에어로스페이스 | 직무: 품질기술 | 유형: 대기업, 인턴",생산·품질,품질관리,"QA, QC",중,,https://linkareer.com/cover-letter/32142?page=4&sort=RECENT_SCRAP_COUNT&tab=all
64,2025 하반기,아시아나 항공,객실승무원,"회사: 아시아나 항공 | 직무: 객실승무원 | 유형: 대기업, 인턴",서비스,항공·운송 서비스,"객실승무원, 운송 서비스",상,,https://linkareer.com/cover-letter/36079?page=4&sort=RECENT_SCRAP_COUNT&tab=all
65,2025 상반기,현진스포텍,인사,"회사: 현진스포텍 | 직무: 인사 | 유형: 중견기업, 신입",경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/34854?page=4&sort=RECENT_SCRAP_COUNT&tab=all
66,2023 상반기,현대백화점,재경,"회사: 현대백화점 | 직무: 재경 | 유형: 대기업, 신입",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/32033?page=4&sort=RECENT_SCRAP_COUNT&tab=all
67,2022 상반기,삼성전자,마케팅,"회사: 삼성전자 | 직무: 마케팅 | 유형: 대기업, 인턴",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/30999?page=4&sort=RECENT_SCRAP_COUNT&tab=all
68,2025 상반기,삼성전자,DS부문_TSP총괄_반도체공정기술,"회사: 삼성전자 | 직무: DS부문_TSP총괄_반도체공정기술 | 유형: 대기업, 신입",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/34807?page=4&sort=RECENT_SCRAP_COUNT&tab=all
69,2025 상반기,네이버웹툰,HR,"회사: 네이버웹툰 | 직무: HR | 유형: 대기업, 인턴",IT·개발,프론트엔드 개발,"React, Vue, Angular, 웹 퍼블리싱",중,,https://linkareer.com/cover-letter/34843?page=4&sort=RECENT_SCRAP_COUNT&tab=all
70,2024 하반기,CJ ENM,일반_마케팅(예능),"회사: CJ ENM | 직무: 일반_마케팅(예능) | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/34424?page=4&sort=RECENT_SCRAP_COUNT&tab=all
71,2025 상반기,경기주택도시공사,체험형 인턴_수원(사업기획),"회사: 경기주택도시공사 | 직무: 체험형 인턴_수원(사업기획) | 유형: 인턴, 공기업",경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/34653?page=4&sort=RECENT_SCRAP_COUNT&tab=all
72,2023 상반기,트릿지,프로덕트 디자이너 (UX/UI),"회사: 트릿지 | 직무: 프로덕트 디자이너 (UX/UI) | 유형: 중소기업/스타트업, 신입",디자인,UI/UX 디자인,웹·앱 디자인,상,,https://linkareer.com/cover-letter/32244?page=4&sort=RECENT_SCRAP_COUNT&tab=all
73,2025 상반기,현대그린푸드,인사/교육,"회사: 현대그린푸드 | 직무: 인사/교육 | 유형: 대기업, 신입",경영·사무,인사,"채용, 교육, 조직관리",상,,https://linkareer.com/cover-letter/34848?page=4&sort=RECENT_SCRAP_COUNT&tab=all
74,2023 상반기,삼성SDS,UX디자이너,"회사: 삼성SDS | 직무: UX디자이너 | 유형: 대기업, 신입",디자인,UI/UX 디자인,웹·앱 디자인,중,,https://linkareer.com/cover-letter/31853?page=4&sort=RECENT_SCRAP_COUNT&tab=all
75,2025 상반기,한국투자증권,PB(Private Banker),"회사: 한국투자증권 | 직무: PB(Private Banker) | 유형: 대기업, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/35259?page=4&sort=RECENT_SCRAP_COUNT&tab=all
76,2020 하반기,현대백화점,마케팅,"회사: 현대백화점 | 직무: 마케팅 | 유형: 신입, 대기업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/25214?page=4&sort=RECENT_SCRAP_COUNT&tab=all
77,2024 하반기,GS건설,주택영업,"회사: GS건설 | 직무: 주택영업 | 유형: 대기업, 신입",영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/34197?page=4&sort=RECENT_SCRAP_COUNT&tab=all
78,2025 상반기,삼성전자,AI센터_SW개발,"회사: 삼성전자 | 직무: AI센터_SW개발 | 유형: 대기업, 신입",IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",상,,https://linkareer.com/cover-letter/35612?page=4&sort=RECENT_SCRAP_COUNT&tab=all
79,2025 상반기,BGF리테일,브랜드마케팅팀,"회사: BGF리테일 | 직무: 브랜드마케팅팀 | 유형: 중견기업, 인턴",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",상,,https://linkareer.com/cover-letter/34583?page=4&sort=RECENT_SCRAP_COUNT&tab=all
80,2023 상반기,인천서구시설관리공단,일반직 기계,"회사: 인천서구시설관리공단 | 직무: 일반직 기계 | 유형: 공기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/32056?page=4&sort=RECENT_SCRAP_COUNT&tab=all
81,2025 하반기,카카오뱅크,콘텐츠 제작 어시스턴트 (체험형 인턴),"회사: 카카오뱅크 | 직무: 콘텐츠 제작 어시스턴트 (체험형 인턴) | 유형: 인턴, 대기업",미디어·콘텐츠,콘텐츠 제작,"PD, 영상, 방송, 작가",상,,https://linkareer.com/cover-letter/36024?page=4&sort=RECENT_SCRAP_COUNT&tab=all
82,2024 하반기,하나은행,디자인 크리에이터,"회사: 하나은행 | 직무: 디자인 크리에이터 | 유형: 신입, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/34008?page=5&sort=RECENT_SCRAP_COUNT&tab=all
83,2025 하반기,현대자동차,생산기술_자동화기계_생산기술(울산공장),"회사: 현대자동차 | 직무: 생산기술_자동화기계_생산기술(울산공장) | 유형: 대기업, 신입",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/35998?page=5&sort=RECENT_SCRAP_COUNT&tab=all
84,2025 상반기,HD현대이엔티,조선설계,"회사: HD현대이엔티 | 직무: 조선설계 | 유형: 대기업, 신입",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/34893?page=5&sort=RECENT_SCRAP_COUNT&tab=all
85,2023 하반기,토스증권,Retail operation,"회사: 토스증권 | 직무: Retail operation | 유형: 인턴, 중견기업",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/32733?page=5&sort=RECENT_SCRAP_COUNT&tab=all
86,2024 하반기,한국투자증권,운용,"회사: 한국투자증권 | 직무: 운용 | 유형: 대기업, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/34148?page=5&sort=RECENT_SCRAP_COUNT&tab=all
87,2022 하반기,KREAM,상품 운영 (체험형 인턴),"회사: KREAM | 직무: 상품 운영 (체험형 인턴) | 유형: 인턴, 대기업",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/31374?page=5&sort=RECENT_SCRAP_COUNT&tab=all
88,2024 하반기,SBS,취재기자,"회사: SBS | 직무: 취재기자 | 유형: 중견기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/34676?page=5&sort=RECENT_SCRAP_COUNT&tab=all
89,2026 상반기,현대자동차,하이테크 진단/정비,"회사: 현대자동차 | 직무: 하이테크 진단/정비 | 유형: 대기업, 인턴",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/36018?page=5&sort=RECENT_SCRAP_COUNT&tab=all
90,2022 하반기,LS전선,회계직,"회사: LS전선 | 직무: 회계직 | 유형: 대기업, 인턴",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/31511?page=5&sort=RECENT_SCRAP_COUNT&tab=all
91,2025 상반기,대학내일,마케팅(AE)_소셜캠페인3팀,"회사: 대학내일 | 직무: 마케팅(AE)_소셜캠페인3팀 | 유형: 중견기업, 인턴",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",상,,https://linkareer.com/cover-letter/35035?page=5&sort=RECENT_SCRAP_COUNT&tab=all
92,2024 상반기,두산테스나,회계,"회사: 두산테스나 | 직무: 회계 | 유형: 신입, 대기업",경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/33213?page=5&sort=RECENT_SCRAP_COUNT&tab=all
93,2025 상반기,IBK기업은행,금융일반,"회사: IBK기업은행 | 직무: 금융일반 | 유형: 은행권, 신입",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/35317?page=5&sort=RECENT_SCRAP_COUNT&tab=all
94,2025 하반기,ASML,Customer Support Engineer (CSE),"회사: ASML | 직무: Customer Support Engineer (CSE) | 유형: 대기업, 신입",IT·개발,AI·머신러닝,"머신러닝, 딥러닝, 생성형 AI",중,,https://linkareer.com/cover-letter/36056?page=5&sort=RECENT_SCRAP_COUNT&tab=all
